,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
0,42,0.42,89.26666666666667,77,36,17,10
1,49,0.49,74.53333333333333,64,43,30,9
2,14,0.14,71.13333333333333,61,11,36,10
3,40,0.4,79.06666666666666,68,35,27,9
4,59,0.59,84.73333333333333,73,53,21,10
5,51,0.51,83.6,72,45,22,10
6,37,0.37,87.0,75,32,20,9
7,58,0.58,83.6,72,53,23,8
8,53,0.53,80.2,69,47,25,8
9,23,0.23,77.93333333333334,67,19,29,10
10,43,0.43,83.6,72,38,23,10
11,18,0.18,76.8,66,15,31,10
12,39,0.39,81.33333333333333,70,36,27,10
13,11,0.11,76.8,66,8,31,10
14,62,0.62,82.46666666666667,71,54,21,9
15,41,0.41,80.2,69,36,26,10
16,46,0.46,79.06666666666666,68,41,27,10
17,38,0.38,74.53333333333333,64,33,31,10
18,46,0.46,81.33333333333333,70,40,24,10
19,27,0.27,67.73333333333333,58,23,38,8
20,14,0.14,72.26666666666667,62,11,35,10
21,64,0.64,87.0,75,59,20,9
22,43,0.43,84.73333333333333,73,38,22,10
23,25,0.25,73.39999999999999,63,21,33,10
24,31,0.31,72.26666666666667,62,27,34,10
25,36,0.36,68.86666666666666,59,31,36,9
26,37,0.37,75.66666666666667,65,32,30,10
27,28,0.28,76.8,66,24,30,9
28,27,0.27,70.0,60,23,36,10
29,11,0.11,60.93333333333333,52,8,45,10
30,54,0.54,76.8,66,50,30,7
31,29,0.29,58.666666666666664,50,25,46,10
32,43,0.43,76.8,66,38,29,9
33,51,0.51,80.2,69,47,27,10
34,25,0.25,72.26666666666667,62,21,34,10
35,62,0.62,84.73333333333333,73,56,21,7
36,29,0.29,73.39999999999999,63,25,33,10
37,47,0.47,77.93333333333334,67,43,29,10
38,40,0.4,76.8,66,35,29,9
39,54,0.54,76.8,66,48,28,9
40,21,0.21,79.06666666666666,68,17,28,10
41,69,0.69,87.0,75,63,19,6
42,51,0.51,83.6,72,46,23,8
43,47,0.47,81.33333333333333,70,43,26,7
44,22,0.22,70.0,60,18,36,10
45,58,0.58,79.06666666666666,68,53,27,7
46,36,0.36,79.06666666666666,68,31,27,10
47,36,0.36,75.66666666666667,65,31,30,10
48,47,0.47,71.13333333333333,61,42,34,8
49,32,0.32,80.2,69,28,27,10
50,22,0.22,80.2,69,18,27,9
51,15,0.15,71.13333333333333,61,12,36,10
52,50,0.5,72.26666666666667,62,45,33,8
53,37,0.37,79.06666666666666,68,32,27,9
54,57,0.57,82.46666666666667,71,51,23,7
55,33,0.33,68.86666666666666,59,28,36,9
56,52,0.52,77.93333333333334,67,47,28,8
57,22,0.22,79.06666666666666,68,18,28,10
58,32,0.32,76.8,66,28,30,10
59,32,0.32,68.86666666666666,59,27,36,9
60,61,0.61,82.46666666666667,71,55,23,9
61,29,0.29,77.93333333333334,67,25,29,10
62,30,0.3,83.6,72,27,25,9
63,27,0.27,72.26666666666667,62,24,35,9
64,50,0.5,82.46666666666667,71,46,25,10
65,48,0.48,91.53333333333333,79,43,16,10
66,33,0.33,81.33333333333333,70,30,27,10
67,30,0.3,76.8,66,26,30,10
68,35,0.35,73.39999999999999,63,31,33,8
69,74,0.74,89.26666666666667,77,68,17,5
70,41,0.41,80.2,69,36,26,9
71,39,0.39,75.66666666666667,65,35,31,9
72,44,0.44,81.33333333333333,70,40,26,10
73,36,0.36,74.53333333333333,64,31,31,10
74,42,0.42,82.46666666666667,71,38,25,9
75,47,0.47,76.8,66,42,29,10
76,61,0.61,88.13333333333333,76,55,18,10
77,36,0.36,71.13333333333333,61,32,35,10
78,33,0.33,75.66666666666667,65,28,30,10
79,39,0.39,80.2,69,34,26,8
80,30,0.3,82.46666666666667,71,27,26,10
81,21,0.21,70.0,60,17,36,10
82,42,0.42,77.93333333333334,67,36,27,9
83,28,0.28,82.46666666666667,71,24,25,10
84,35,0.35,77.93333333333334,67,30,28,10
85,52,0.52,79.06666666666666,68,48,28,10
86,49,0.49,73.39999999999999,63,43,31,9
87,43,0.43,73.39999999999999,63,38,32,8
88,32,0.32,83.6,72,28,24,10
89,35,0.35,74.53333333333333,64,31,32,10
90,35,0.35,73.39999999999999,63,31,33,8
91,34,0.34,77.93333333333334,67,30,29,9
92,31,0.31,73.39999999999999,63,26,32,9
93,59,0.59,81.33333333333333,70,53,24,7
94,14,0.14,73.39999999999999,63,11,34,10
95,34,0.34,73.39999999999999,63,29,32,9
96,67,0.67,82.46666666666667,71,61,23,6
97,28,0.28,66.6,57,24,39,7
98,57,0.57,84.73333333333333,73,52,22,9
99,15,0.15,73.39999999999999,63,12,34,10
