,n,eps,D,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
0,10,1.0,1,4.0,0.3999999999999999,4.0,1.0,1.0,6.0,3.0
1,10,1.0,5,6.93,0.693,8.28,3.14,3.14,3.07,3.0
2,10,1.0,10,7.68,0.7680000000000002,10.06,4.03,4.03,2.3,2.82
3,10,1.0,15,8.21,0.821,11.36,4.68,4.68,1.77,2.31
4,10,1.0,20,8.4,0.8400000000000002,11.88,4.94,4.94,1.6,2.43
5,10,0.3333333333333333,1,0.0,0.0,3.3333333333333326,1.0,0.0,7.0,4.0
6,10,0.3333333333333333,5,2.17,0.217,5.840000000000001,2.88,1.18,4.79,4.11
7,10,0.3333333333333333,10,4.84,0.48400000000000004,7.786666666666669,4.34,2.85,2.97,3.84
8,10,0.3333333333333333,15,5.62,0.5619999999999999,8.066666666666666,4.55,3.42,2.71,3.58
9,10,0.3333333333333333,20,6.81,0.681,8.8,5.1,4.27,2.04,3.15
10,10,0.3,1,0.0,0.0,3.3,1.0,0.0,7.0,4.0
11,10,0.3,5,0.87,0.087,5.9780000000000015,3.06,0.51,4.82,4.68
12,10,0.3,10,3.25,0.325,7.33,4.1,2.02,3.49,4.28
13,10,0.3,15,5.53,0.5529999999999999,8.578,5.06,3.52,2.27,3.81
14,10,0.3,20,5.53,0.5529999999999999,8.525999999999998,5.02,3.61,2.34,3.55
15,10,0.26666666666666666,1,0.0,0.0,3.2666666666666657,1.0,0.0,7.0,4.0
16,10,0.26666666666666666,5,1.01,0.10099999999999998,5.9899999999999975,3.15,0.59,4.71,4.71
17,10,0.26666666666666666,10,2.87,0.287,7.117333333333332,4.04,1.76,3.59,4.39
18,10,0.26666666666666666,15,4.01,0.401,7.636666666666665,4.45,2.51,3.05,4.22
19,10,0.26666666666666666,20,5.64,0.564,8.307999999999998,4.98,3.6,2.34,3.69
20,10,0.23333333333333334,1,0.0,0.0,3.2333333333333343,1.0,0.0,7.0,4.0
21,10,0.23333333333333334,5,0.24,0.024000000000000004,5.996000000000004,3.24,0.15,4.73,5.21
22,10,0.23333333333333334,10,1.99,0.199,7.229333333333333,4.24,1.3,3.53,5.05
23,10,0.23333333333333334,15,3.04,0.30400000000000005,7.6979999999999995,4.62,2.02,3.04,4.64
24,10,0.23333333333333334,20,3.71,0.37099999999999994,8.068000000000001,4.92,2.45,2.66,4.36
25,10,0.2,1,0.0,0.0,3.1999999999999993,1.0,0.0,7.0,4.0
26,10,0.2,5,0.32,0.032,5.768000000000001,3.14,0.2,4.82,5.02
27,10,0.2,10,2.04,0.20400000000000001,6.739999999999998,3.95,1.32,3.81,4.84
28,10,0.2,15,3.92,0.392,7.688000000000001,4.74,2.57,2.81,4.23
29,10,0.2,20,4.72,0.47200000000000003,8.264,5.22,3.13,2.25,4.1
30,10,0.16666666666666666,1,0.0,0.0,3.166666666666668,1.0,0.0,7.0,4.0
31,10,0.16666666666666666,5,0.0,0.0,5.721666666666668,3.19,0.0,4.81,5.38
32,10,0.16666666666666666,10,1.03,0.10300000000000001,6.876666666666668,4.18,0.7,3.71,5.58
33,10,0.16666666666666666,15,1.96,0.196,7.331666666666667,4.57,1.33,3.22,5.29
34,10,0.16666666666666666,20,2.85,0.285,7.740000000000001,4.92,1.95,2.78,4.87
35,10,0.13333333333333333,1,0.0,0.0,3.1333333333333333,1.0,0.0,7.0,4.0
36,10,0.13333333333333333,5,0.0,0.0,5.603999999999998,3.18,0.0,4.82,5.42
37,10,0.13333333333333333,10,0.0,0.0,6.5219999999999985,3.99,0.0,4.01,5.99
38,10,0.13333333333333333,15,0.0,0.0,7.473999999999998,4.83,0.0,3.17,7.22
39,10,0.13333333333333333,20,0.0,0.0,7.734666666666665,5.06,0.0,2.94,7.49
40,10,0.1,1,0.0,0.0,3.100000000000002,1.0,0.0,7.0,4.0
41,10,0.1,5,0.0,0.0,5.399,3.09,0.0,4.91,5.22
42,10,0.1,10,0.0,0.0,6.4990000000000006,4.09,0.0,3.91,6.46
43,10,0.1,15,0.0,0.0,7.456000000000001,4.96,0.0,3.04,7.17
44,10,0.1,20,0.0,0.0,7.511000000000003,5.01,0.0,2.99,7.32
45,10,0.06666666666666667,1,0.0,0.0,3.0666666666666664,1.0,0.0,7.0,4.0
46,10,0.06666666666666667,5,0.0,0.0,5.2426666666666675,3.04,0.0,4.96,5.25
47,10,0.06666666666666667,10,0.0,0.0,6.448,4.17,0.0,3.83,6.27
48,10,0.06666666666666667,15,0.0,0.0,7.077333333333334,4.76,0.0,3.24,7.18
49,10,0.06666666666666667,20,0.0,0.0,7.269333333333335,4.94,0.0,3.06,7.16
50,10,0.03333333333333333,1,0.0,0.0,3.0333333333333337,1.0,0.0,7.0,4.0
51,10,0.03333333333333333,5,0.0,0.0,5.110333333333334,3.01,0.0,4.99,5.08
52,10,0.03333333333333333,10,0.0,0.0,6.381333333333334,4.24,0.0,3.76,6.49
53,10,0.03333333333333333,15,0.0,0.0,7.053000000000002,4.89,0.0,3.11,7.03
54,10,0.03333333333333333,20,0.0,0.0,7.135666666666667,4.97,0.0,3.03,7.18
55,50,1.0,5,10.71,0.21420000000000003,11.2,4.6,4.6,39.29,3.0
56,50,1.0,25,27.75,0.5549999999999999,34.1,16.05,16.05,22.25,3.0
57,50,1.0,50,36.26,0.7252,51.36,24.68,24.68,13.74,3.0
58,50,1.0,75,39.36,0.7872,60.48,29.24,29.24,10.64,3.0
59,50,1.0,100,41.74,0.8347999999999998,67.32,32.66,32.66,8.26,3.0
60,50,0.3333333333333333,5,0.18,0.0036,8.2,4.65,0.09,43.32,4.35
61,50,0.3333333333333333,25,9.58,0.19160000000000008,23.84,16.38,6.14,29.98,4.94
62,50,0.3333333333333333,50,21.23,0.4246000000000001,34.97333333333333,24.73,16.06,20.08,4.89
63,50,0.3333333333333333,75,29.39,0.5878000000000001,41.57333333333333,29.68,23.62,14.55,4.78
64,50,0.3333333333333333,100,32.86,0.6572,45.49333333333332,32.62,27.27,11.79,4.71
65,50,0.3,5,0.0,0.0,8.071,4.67,0.0,43.33,4.48
66,50,0.3,25,4.88,0.09760000000000002,23.515,16.55,3.05,30.78,5.64
67,50,0.3,50,17.28,0.34559999999999996,33.499,24.23,13.04,21.51,5.65
68,50,0.3,75,24.71,0.4942000000000001,39.973,29.21,19.92,16.0,5.58
69,50,0.3,100,29.33,0.5866,43.87299999999999,32.21,24.48,12.94,5.38
70,50,0.26666666666666666,5,0.0,0.0,7.953333333333332,4.7,0.0,43.3,4.44
71,50,0.26666666666666666,25,5.51,0.11019999999999999,22.380666666666663,16.09,3.5,31.18,5.55
72,50,0.26666666666666666,50,17.55,0.35100000000000003,33.007999999999996,24.48,13.51,21.38,5.63
73,50,0.26666666666666666,75,23.27,0.46540000000000004,38.429333333333325,28.76,18.61,16.56,5.67
74,50,0.26666666666666666,100,29.85,0.597,42.97666666666667,32.35,24.87,12.67,5.48
75,50,0.23333333333333334,5,0.0,0.0,7.673333333333336,4.6,0.0,43.4,4.44
76,50,0.23333333333333334,25,3.15,0.063,22.81866666666667,16.88,2.08,30.75,6.13
77,50,0.23333333333333334,50,13.45,0.26899999999999996,32.79633333333334,24.97,10.29,21.61,6.48
78,50,0.23333333333333334,75,21.6,0.4320000000000001,38.18599999999999,29.34,17.53,16.53,6.27
79,50,0.23333333333333334,100,27.21,0.5442,42.42866666666668,32.78,22.89,12.9,6.13
80,50,0.2,5,0.0,0.0,7.4,4.5,0.0,43.5,4.42
81,50,0.2,25,2.69,0.05380000000000001,21.848000000000003,16.54,1.82,31.15,6.17
82,50,0.2,50,12.88,0.25759999999999994,31.412000000000003,24.51,9.7,22.09,6.39
83,50,0.2,75,21.66,0.43320000000000003,37.232,29.36,17.57,16.55,6.29
84,50,0.2,100,26.43,0.5286,40.076,31.73,22.07,13.91,6.05
85,50,0.16666666666666666,5,0.0,0.0,7.296666666666669,4.54,0.0,43.46,4.39
86,50,0.16666666666666666,25,1.59,0.03180000000000001,21.565,16.77,1.11,31.07,6.54
87,50,0.16666666666666666,50,8.89,0.1778,30.326666666666668,24.28,6.67,22.86,6.96
88,50,0.16666666666666666,75,18.85,0.377,36.335,29.43,15.36,16.96,6.97
89,50,0.16666666666666666,100,24.71,0.4942000000000001,39.730000000000004,32.34,20.75,13.66,6.84
90,50,0.13333333333333333,5,0.0,0.0,7.235999999999999,4.62,0.0,43.38,4.45
91,50,0.13333333333333333,25,0.61,0.012199999999999999,20.836,16.62,0.46,31.33,6.89
92,50,0.13333333333333333,50,4.64,0.09280000000000001,29.48333333333333,24.25,3.61,23.4,8.2
93,50,0.13333333333333333,75,13.73,0.27459999999999996,35.87533333333333,29.89,11.19,17.11,8.44
94,50,0.13333333333333333,100,19.68,0.39360000000000006,39.11666666666666,32.75,16.64,14.03,8.24
95,50,0.1,5,0.0,0.0,7.2139999999999995,4.74,0.0,43.26,4.45
96,50,0.1,25,0.0,0.0,20.315000000000005,16.65,0.0,31.35,7.11
97,50,0.1,50,2.83,0.05660000000000001,29.477999999999998,24.98,2.28,22.83,9.01
98,50,0.1,75,9.77,0.1954,34.648,29.68,8.01,17.72,9.19
99,50,0.1,100,12.14,0.24280000000000004,37.024,31.84,10.14,15.44,9.66
100,50,0.06666666666666667,5,0.0,0.0,7.013333333333334,4.7,0.0,43.3,4.52
101,50,0.06666666666666667,25,0.0,0.0,19.183999999999997,16.11,0.0,31.89,7.0
102,50,0.06666666666666667,50,0.0,0.0,28.325333333333333,24.68,0.0,23.32,10.29
103,50,0.06666666666666667,75,3.69,0.07379999999999999,33.040000000000006,29.1,3.18,18.73,11.34
104,50,0.06666666666666667,100,6.04,0.12079999999999998,36.10133333333333,31.97,5.25,15.76,12.21
105,50,0.03333333333333333,5,0.0,0.0,6.629333333333332,4.48,0.0,43.52,4.38
106,50,0.03333333333333333,25,0.0,0.0,18.802,16.26,0.0,31.74,7.12
107,50,0.03333333333333333,50,0.0,0.0,27.42,24.6,0.0,23.4,10.07
108,50,0.03333333333333333,75,0.0,0.0,32.442,29.46,0.0,18.54,13.63
109,50,0.03333333333333333,100,0.35,0.006999999999999999,35.33533333333334,32.26,0.32,15.73,16.0
110,100,1.0,10,19.51,0.19509999999999994,20.46,9.23,9.23,80.49,3.0
111,100,1.0,50,54.19,0.5419,68.46,33.23,33.23,45.81,3.0
112,100,1.0,100,72.06,0.7206,103.14,50.57,50.57,27.94,3.0
113,100,1.0,150,78.45,0.7844999999999998,120.74,59.37,59.37,21.55,3.0
114,100,1.0,200,83.3,0.8330000000000001,135.26,66.63,66.63,16.7,3.0
